example_id,conversation_id,tweet_id,customer_message,conversation_context,candidate_intent,final_intent,difficulty,notes
1,459,94220,"@AmericanAir 
Hi! Website says check in times for baggage vary by airport.
What is earliest passengers may check baggage at SJC?",[No preceding context - conversation start],BAGGAGE_ISSUES,CHECKIN_AND_BOARDING,medium,Dual-intent overlap: touches both BAGGAGE_ISSUES and CHECKIN_AND_BOARDING.
2,1577,248283,@AmericanAir Hey if i do an exit seat am i able to have a bag under my seat?,[No preceding context - conversation start],BAGGAGE_ISSUES,SEATS_AND_CABIN,medium,Dual-intent overlap: touches both BAGGAGE_ISSUES and SEATS_AND_CABIN.
3,3006,375908,.@AmericanAir my flights to/from MCI were super dirty! I don't want to pack cleaning supplies when you limit my overhead bin space! #aaflyer,[No preceding context - conversation start],BAGGAGE_ISSUES,CUSTOMER_SERVICE_COMPLAINT,easy,Unambiguous single-intent signal matching BAGGAGE_ISSUES.
4,3778,452303,@AmericanAir I’d enjoy it more if I hadn’t paid to check a bag,"[1] Customer (222287): ""Paid @AmericanAir $25 to check my bag, now they’re offering ‘free bag check’ at the gate. #LessonsLearned #packlighter #headedtosunshine"" | [2] AmericanAir: ""@222287 Have a #fAAbulous trip, Cynthia, and enjoy that warm weather!""",BAGGAGE_ISSUES,CHECKIN_AND_BOARDING,easy,Unambiguous single-intent signal matching BAGGAGE_ISSUES.
5,3907,463644,Dear gate agent at @AmericanAir. My iPad is not a carry on. Like it isn’t. My water bottle is bigger. For what reason was it necessary to make me step out of line to put it into my book bag before you allowed me to board. Come on now y’all.,[No preceding context - conversation start],BAGGAGE_ISSUES,CHECKIN_AND_BOARDING,hard,"Multi-intent ambiguity spanning 3+ domains: BAGGAGE_ISSUES, BOOKING_AND_RESERVATIONS, CHECKIN_AND_BOARDING, CUSTOMER_SERVICE_COMPLAINT."
6,4332,513175,"About to spend 4 uncomfortable hours with  @AmericanAir. If you charge extra for oversized bags, why don’t you charge extra for oversized people who can’t fit in a seat?",[No preceding context - conversation start],BAGGAGE_ISSUES,SEATS_AND_CABIN,hard,"Multi-intent ambiguity spanning 3+ domains: BAGGAGE_ISSUES, SEATS_AND_CABIN, REFUNDS_AND_PAYMENTS."
7,5367,653216,"@AmericanAir Question re: baggage fee. I’m flying out tomorrow, LAX to MIA to AUA. 1st leg is still waitlisted but 2nd leg upgraded.  Do we have to pay baggage fee? If we get upgraded at the gate, do you refund? thx.",[No preceding context - conversation start],BAGGAGE_ISSUES,REFUNDS_AND_PAYMENTS,hard,"Multi-intent ambiguity spanning 3+ domains: BAGGAGE_ISSUES, REFUNDS_AND_PAYMENTS, GENERAL_INQUIRY_AND_OTHER."
8,6618,795312,@AmericanAir I have the economy. So 1 small item is 1 small luggage @AmericanAir ?,"[1] Customer (309623): ""1st time to fly @AmericanAir. How many carry on is allowed? Can i have 2 carry on and 1 handbag @AmericanAir ?"" | [2] AmericanAir: ""@309623 It depends on the type of ticket you purchase. Our standard fares allow for 1 carry-on, plus a personal item. Basic Economy is 1 small item.""",BAGGAGE_ISSUES,CHECKIN_AND_BOARDING,easy,Unambiguous single-intent signal matching BAGGAGE_ISSUES.
9,8660,1019574,"U can eat, go to the bathroom, make calls, and go home and back b4 bags arrive from @AmericanAir @133384.  #longestwaitinthecountry",[No preceding context - conversation start],BAGGAGE_ISSUES,BAGGAGE_ISSUES,easy,Unambiguous single-intent signal matching BAGGAGE_ISSUES.
10,9689,1110423,"Even if it's my clothes, I hope I can get my suitcase to arrive at the airport soon.",[No preceding context - conversation start],BAGGAGE_ISSUES,BAGGAGE_ISSUES,easy,Unambiguous single-intent signal matching BAGGAGE_ISSUES.
