conversation_id,position,tweet_id,author_id,inbound,created_at,text
1,1,1000,115904,True,Tue Oct 31 21:46:51 +0000 2017,@AmericanAir have a flight at 330pm (45mins) I’m almost to Lax. I’m legally blind and didn’t know where to let you know I need assistance.
1,2,999,115904,True,Tue Oct 31 21:47:45 +0000 2017,@AmericanAir Could you have someone on your lax team available to guide me to my gate ASAP
1,3,998,AmericanAir,False,Tue Oct 31 22:12:14 +0000 2017,@115904 Our apologies for the delay in responding to you. Have you made it to LAX? Let us know if you still need assistance.
1,4,997,115904,True,Tue Oct 31 22:24:57 +0000 2017,@AmericanAir Erica on the lax team is amazing give her a raise ty
1,5,996,AmericanAir,False,Tue Oct 31 22:27:30 +0000 2017,@115904 We'll be sure to pass along your kind words! #AATeam
2,1,1002,115905,True,Tue Oct 31 22:02:04 +0000 2017,Ben Tennyson and an American Airlines pilot. 🎃 #trunkortreat #halloween #2017 #diycostume #parenting @americanair … https://t.co/f1nNHQ0iLa https://t.co/lDViDkRdB1
2,2,1001,AmericanAir,False,Tue Oct 31 22:24:05 +0000 2017,"@115905 Aww, that's definitely a future pilot in the making! #HappyHalloween"
3,1,1005,115906,True,Tue Oct 31 21:51:37 +0000 2017,"I’m sorry, what? It’s going to COST me $50 to transfer 4,000 AA Advantage points to my spouse? @AmericanAir this is ridiculous!!"
3,2,1003,AmericanAir,False,Tue Oct 31 22:22:37 +0000 2017,@115906 This is a great option for customers who want to share miles and it's cheaper than having to purchase them.
3,3,1004,115906,True,Tue Oct 31 22:24:48 +0000 2017,"@AmericanAir Right, but I earned those. I also shouldn’t have to pay to pass them to my own spouse. You need to change your program."
3,4,1006,AmericanAir,False,Tue Oct 31 22:44:51 +0000 2017,@115906 We're sorry for your frustration.
4,1,1009,115907,True,Tue Oct 31 21:54:22 +0000 2017,Heading to London tonight will be there for 5 days doing some exciting stuff:) @AmericanAir get the drinks ready I coming aboard:) JB
4,2,1008,AmericanAir,False,Tue Oct 31 22:19:34 +0000 2017,"@115907 It's always a pleasure to have you on board, John. Have a wonderful flight over the pond!"
5,1,1062,115908,True,Tue Oct 31 21:47:19 +0000 2017,Check out these tiny trick-or-treaters all dressed up in our #NICU. Hey @AmericanAir! We have your youngest #pilot in training! #Halloween https://t.co/0C3aXJhiAg
5,2,1061,AmericanAir,False,Tue Oct 31 22:17:44 +0000 2017,"@115908 Pilots, Potter, Pumpkins and Skeletons...oh my! They're all adorable."
6,1,1065,115909,True,Tue Oct 31 21:51:36 +0000 2017,"Thank you, @AmericanAir for playing #ThisIsUs and for having great flight attendants on my flight back home!"
6,2,1064,AmericanAir,False,Tue Oct 31 22:14:35 +0000 2017,@115909 We're glad you got to kick back and enjoy a show while flying! Thanks for your kind words.
7,1,1917,116142,True,Tue Oct 31 22:09:48 +0000 2017,@AmericanAir's wifi makes Amtrak's wifi look pro. At least theirs is free.  @5804 has decent wifi @ reasonable prices. Why not AA?
7,2,1916,AmericanAir,False,Tue Oct 31 22:44:15 +0000 2017,@116142 We never want your experience to be anything less than perfect. We're sorry the Wi-Fi was slower than expected.
8,1,1919,116143,True,Tue Oct 31 22:22:19 +0000 2017,"Wonderful club! @americanair (@ American Airlines Admirals Club in San Francisco, CA) https://t.co/GWFwuGVgNA"
8,2,1918,AmericanAir,False,Tue Oct 31 22:44:13 +0000 2017,"@116143 Thanks for the shout-out and for stopping by, Marc! We'll pass this on to our SFO Admirals Club managers."
9,1,1922,116144,True,Tue Oct 31 22:20:27 +0000 2017,Trying to book a flight on @AmericanAir and an error comes up: System having trouble. Anyone else having problem?
9,2,1920,AmericanAir,False,Tue Oct 31 22:43:15 +0000 2017,@116144 We're sorry for any difficulties that you've experienced. Please contact our Web Technical Support folks at 800-222-2377.
9,3,1921,116144,True,Tue Oct 31 23:03:53 +0000 2017,"@AmericanAir already did...changed browsers, did all my techie tricks and still can't make a reservation after 1 hour!!"
9,4,1923,AmericanAir,False,Tue Oct 31 23:24:55 +0000 2017,@116144 They'll be more than happy to walk you through it and help with the booking process.
9,5,1924,116144,True,Tue Oct 31 23:25:46 +0000 2017,@AmericanAir been on phone and hold for past 45 mins. looking bleak
9,6,1925,116144,True,Tue Oct 31 23:32:34 +0000 2017,@AmericanAir ........still....on....hold.....they made the booking. I am trying to pay.....so #frustrating.
9,7,1926,AmericanAir,False,Tue Oct 31 23:43:02 +0000 2017,@116144 We're sorry for the long wait. The next available agent will be with you as soon as possible.
9,8,1927,116144,True,Tue Oct 31 23:44:08 +0000 2017,@AmericanAir well now i am told the ticket cost is an additional $200/person to pay....because of the wait....omg
